GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
36001000100,140,36,001,10580,104,,,Census Tract 1,2139,910,1728,824,2139,1728
36001000200,140,36,001,10580,104,,,Census Tract 2,6046,3103,5491,2914,6046,5491
36001000300,140,36,001,10580,104,,,Census Tract 3,5888,3041,5571,2588,5888,5571
36045980000,140,36,045,48060,999,,,Census Tract 9800,18,11,15,7,18,15
36001000403,140,36,001,10580,104,,,Census Tract 4.03,4415,2306,4411,2266,4415,4411
36001000404,140,36,001,10580,104,,,Census Tract 4.04,5203,13,4922,22,5203,4922
36001000502,140,36,001,10580,104,,,Census Tract 5.02,3448,943,3589,1007,3448,3589
36001000600,140,36,001,10580,104,,,Census Tract 6,3676,1708,3296,1591,3676,3296
36001000800,140,36,001,10580,104,,,Census Tract 8,2393,1302,2284,1251,2393,2284
36001001100,140,36,001,10580,104,,,Census Tract 11,1169,812,1256,995,1169,1256
36001001400,140,36,001,10580,104,,,Census Tract 14,3560,2693,3610,2727,3560,3610
36001001500,140,36,001,10580,104,,,Census Tract 15,4606,2454,4282,2346,4606,4282
36001001600,140,36,001,10580,104,,,Census Tract 16,4273,1882,4106,1921,4273,4106
36001001700,140,36,001,10580,104,,,Census Tract 17,4021,1962,3965,1874,4021,3965
36001001802,140,36,001,10580,104,,,Census Tract 18.02,3816,2071,3877,1975,3816,3877
36001002200,140,36,001,10580,104,,,Census Tract 22,2344,1528,2213,1542,2344,2213
36001002300,140,36,001,10580,104,,,Census Tract 23,2051,1237,2034,1250,2051,2034
36001002600,140,36,001,10580,104,,,Census Tract 26,5165,2285,5171,2308,5165,5171
36001012700,140,36,001,10580,104,,,Census Tract 127,2342,1265,2407,1247,2342,2407
36001012800,140,36,001,10580,104,,,Census Tract 128,3836,2094,3611,1923,3836,3611
36001013400,140,36,001,10580,104,,,Census Tract 134,2430,1210,2615,1246,2430,2615
36001013000,140,36,001,10580,104,,,Census Tract 130,6545,3086,6204,2741,6545,6204
36001013100,140,36,001,10580,104,,,Census Tract 131,2620,1408,2278,1188,2620,2278
36001013200,140,36,001,10580,104,,,Census Tract 132,3397,1781,3370,1800,3397,3370
36001013300,140,36,001,10580,104,,,Census Tract 133,4427,2315,4235,2076,4427,4235
36001013503,140,36,001,10580,104,,,Census Tract 135.03,4277,1885,3667,1650,4277,3667
36001013505,140,36,001,10580,104,,,Census Tract 135.05,2712,1067,2834,1086,2712,2834
36001013506,140,36,001,10580,104,,,Census Tract 135.06,6361,2864,6150,2596,6361,6150
36001013507,140,36,001,10580,104,,,Census Tract 135.07,2594,1092,2474,1022,2594,2474
36001013508,140,36,001,10580,104,,,Census Tract 135.08,6547,2619,6245,2451,6547,6245
36001013601,140,36,001,10580,104,,,Census Tract 136.01,9372,3311,7795,2989,9372,7795
36001013602,140,36,001,10580,104,,,Census Tract 136.02,4409,2355,3917,2077,4409,3917
36001013703,140,36,001,10580,104,,,Census Tract 137.03,2500,628,2975,672,2500,2975
36001013705,140,36,001,10580,104,,,Census Tract 137.05,6628,2956,6791,2667,6628,6791
36001013707,140,36,001,10580,104,,,Census Tract 137.07,6061,2653,6370,2322,6061,6370
36001013802,140,36,001,10580,104,,,Census Tract 138.02,4390,1618,4128,1439,4390,4128
36001013902,140,36,001,10580,104,,,Census Tract 139.02,5333,2316,5245,2194,5333,5245
36001014001,140,36,001,10580,104,,,Census Tract 140.01,4003,2144,4027,2123,4003,4027
