,GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000,popchange,percent,k-means label
49,36005002400,140,36,5,35620,408,0.0,0.0,Census Tract 24,4.0,3,0.0,0,4,0,4,100.0,5
66,36005000200,140,36,5,35620,408,0.0,0.0,Census Tract 2,4334.0,1449,3525.0,1208,4334,3525,809,22.95035460992908,0
67,36005000400,140,36,5,35620,408,0.0,0.0,Census Tract 4,5503.0,1903,3333.0,1112,5503,3333,2170,65.10651065106511,5
68,36005001600,140,36,5,35620,408,0.0,0.0,Census Tract 16,5643.0,2001,5237.0,1853,5643,5237,406,7.752530074470116,0
69,36005001900,140,36,5,35620,408,0.0,0.0,Census Tract 19,1917.0,606,1584.0,510,1917,1584,333,21.022727272727273,0
70,36005002000,140,36,5,35620,408,0.0,0.0,Census Tract 20,8731.0,3135,9068.0,3167,8731,9068,-337,-3.716365240405823,0
71,36005002300,140,36,5,35620,408,0.0,0.0,Census Tract 23,4933.0,1783,4338.0,1859,4933,4338,595,13.715998155832182,0
72,36005002500,140,36,5,35620,408,0.0,0.0,Census Tract 25,5491.0,1999,5109.0,1917,5491,5109,382,7.47700137013114,0
73,36005002701,140,36,5,35620,408,0.0,0.0,Census Tract 27.01,3113.0,1075,3033.0,1039,3113,3033,80,2.637652489284537,0
74,36005002800,140,36,5,35620,408,0.0,0.0,Census Tract 28,5586.0,2406,5718.0,2429,5586,5718,-132,-2.308499475341028,0
75,36005003300,140,36,5,35620,408,0.0,0.0,Census Tract 33,3413.0,1186,3116.0,1062,3413,3116,297,9.531450577663671,0
76,36005003800,140,36,5,35620,408,0.0,0.0,Census Tract 38,1264.0,432,1263.0,430,1264,1263,1,0.0791765637371338,0
77,36005003900,140,36,5,35620,408,0.0,0.0,Census Tract 39,6475.0,2157,6022.0,2288,6475,6022,453,7.5224178013948855,0
78,36005004001,140,36,5,35620,408,0.0,0.0,Census Tract 40.01,1420.0,576,1420.0,574,1420,1420,0,0.0,0
79,36005004100,140,36,5,35620,408,0.0,0.0,Census Tract 41,6127.0,2083,5240.0,1933,6127,5240,887,16.927480916030536,0
80,36005004300,140,36,5,35620,408,0.0,0.0,Census Tract 43,5056.0,1843,4789.0,1723,5056,4789,267,5.575276675715181,0
81,36005004400,140,36,5,35620,408,0.0,0.0,Census Tract 44,4797.0,1682,4671.0,1675,4797,4671,126,2.697495183044316,0
82,36005004800,140,36,5,35620,408,0.0,0.0,Census Tract 48,3883.0,1389,3678.0,1206,3883,3678,205,5.573681348558999,0
83,36005005100,140,36,5,35620,408,0.0,0.0,Census Tract 51,5810.0,1991,5663.0,1931,5810,5663,147,2.595797280593325,0
84,36005005200,140,36,5,35620,408,0.0,0.0,Census Tract 52,2031.0,797,2186.0,815,2031,2186,-155,-7.0905763952424525,0
85,36005005300,140,36,5,35620,408,0.0,0.0,Census Tract 53,4669.0,1909,4161.0,1649,4669,4161,508,12.208603701033404,0
86,36005005400,140,36,5,35620,408,0.0,0.0,Census Tract 54,5853.0,1931,5550.0,1904,5853,5550,303,5.45945945945946,0
87,36005005600,140,36,5,35620,408,0.0,0.0,Census Tract 56,2711.0,1022,2710.0,1082,2711,2710,1,0.03690036900369004,0
88,36005005902,140,36,5,35620,408,0.0,0.0,Census Tract 59.02,2582.0,1100,2682.0,1100,2582,2682,-100,-3.728560775540642,0
89,36005006100,140,36,5,35620,408,0.0,0.0,Census Tract 61,3713.0,2232,4039.0,2097,3713,4039,-326,-8.071304778410497,0
90,36005006200,140,36,5,35620,408,0.0,0.0,Census Tract 62,6585.0,2455,6399.0,2433,6585,6399,186,2.906704172526957,0
