,stations,Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,12/13 %,2013 Rank,07/13 Change,7/13 %,lines
0,138 St-Grand Concourse ,Bx,2720.0,2926.0,2969.0,3013.0,3076.0,3183.0,3222.0,39.0,+1.2%,362.0,502.0,18.455882352941178,"(4,5) "
1,149 St-Grand Concourse ,Bx,10384.0,11395.0,12056.0,12744.0,13422.0,13599.0,14380.0,781.0,+5.7%,106.0,3996.0,38.482280431432976,"(2,4,5) "
2,161 St-Yankee Stadium ,Bx,24258.0,26511.0,26061.0,26159.0,26631.0,27604.0,26972.0,-632.0,-2.3%,41.0,2714.0,11.188061670376783,"(B,D,4) "
3,167 St ,Bx,8564.0,9125.0,9054.0,9220.0,9351.0,9699.0,9904.0,205.0,+2.1%,158.0,1340.0,15.646893974778141,(4) 
4,167 St ,Bx,8747.0,8913.0,8848.0,8839.0,9054.0,9264.0,9374.0,110.0,+1.2%,171.0,627.0,7.168171944666743,"(B,D) "
5,170 St ,Bx,7958.0,8661.0,8848.0,9234.0,9259.0,9518.0,9525.0,7.0,+0.1%,168.0,1567.0,19.6908771048002,(4) 
6,170 St ,Bx,6273.0,6421.0,6255.0,6054.0,6155.0,6303.0,6563.0,260.0,+4.1%,229.0,290.0,4.622987406344651,"(B,D) "
7,174 St ,Bx,6514.0,6876.0,6801.0,7227.0,7049.0,7018.0,7339.0,321.0,+4.6%,204.0,825.0,12.665029167945963,"(2,5) "
8,174-175 Sts ,Bx,4669.0,4822.0,4603.0,4537.0,4660.0,4706.0,4885.0,179.0,+3.8%,293.0,216.0,4.626258299421718,"(B,D) "
9,176 St ,Bx,4606.0,5105.0,4312.0,4517.0,5383.0,5623.0,5905.0,282.0,+5.0%,256.0,1299.0,28.20234476769431,(4) 
10,182-183 Sts ,Bx,4898.0,4747.0,4612.0,4550.0,4546.0,4507.0,4554.0,47.0,+1.0%,310.0,-344.0,-7.023274806043283,"(B,D) "
11,183 St ,Bx,3371.0,5890.0,5954.0,6071.0,6162.0,6319.0,6360.0,41.0,+0.6%,236.0,2989.0,88.66805102343518,(4) 
