,lines_x,stations_x,Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,12/13 %,2013 Rank,07/13 Change,7/13 %,index,lines_y,stations_y,3,4,k-means label
0,L ,1 Ave ,M,17358.0,19203.0,20006.0,21157.0,22039.0,22436.0,23467.0,1031.0,+4.6%,56.0,6109.0,35.19414679110496,1AveL,L,1Ave,40.730953,-73.981628,3
1,1 ,103 St ,M,13353.0,13573.0,13409.0,12968.0,13292.0,13557.0,13500.0,-57.0,-0.4%,113.0,147.0,1.1008762075937992,103St1,1,103St,40.799446,-73.968379,0
2,6 ,103 St ,M,13897.0,14500.0,14663.0,15210.0,15673.0,15721.0,16189.0,468.0,+3.0%,89.0,2292.0,16.492768223357558,103St6,6,103St,40.7906,-73.947478,3
3,BC ,103 St ,M,4778.0,4961.0,4736.0,4782.0,4562.0,4659.0,4760.0,101.0,+2.2%,300.0,-18.0,-0.37672666387609877,103StBC,BC,103St,40.796092,-73.961454,0
4,7 ,103 St ,Q,16352.0,18021.0,17627.0,17751.0,18583.0,18984.0,19216.0,232.0,+1.2%,70.0,2864.0,17.5146771037182,103St7,7,103St,40.749865,-73.8627,3
5,A ,104 St ,Q,1808.0,1827.0,1715.0,1693.0,1751.0,1725.0,1736.0,11.0,+0.6%,401.0,-72.0,-3.982300884955752,104StA,A,104St,40.681711,-73.837683,0
6,JZ ,104 St ,Q,2388.0,2509.0,2498.0,2527.0,2558.0,2553.0,2575.0,22.0,+0.9%,382.0,187.0,7.830820770519263,104StJZ,JZ,104St,40.695178,-73.84433,0
7,6 ,110 St ,M,10973.0,11320.0,11425.0,11630.0,11836.0,11908.0,12162.0,254.0,+2.1%,129.0,1189.0,10.83568759682858,110St6,6,110St,40.79502,-73.94425,0
8,7 ,111 St ,Q,9725.0,10381.0,10366.0,10457.0,10593.0,10655.0,10914.0,259.0,+2.4%,145.0,1189.0,12.226221079691516,111St7,7,111St,40.75173,-73.855334,0
9,A ,111 St ,Q,2678.0,2770.0,2666.0,2618.0,2711.0,2728.0,2718.0,-10.0,-0.4%,378.0,40.0,1.4936519790888723,111StA,A,111St,40.684331,-73.832163,0
