Average Weekday Subway Ridership,,,,,,,,,,,,
Station (alphabetical by borough),Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,,2013 Rank,
The Bronx,,,,,,,,,,,,
"138 St-Grand Concourse (4,5) ",Bx,"2,720","2,926","2,969","3,013","3,076","3,183","3,222",+39,+1.2%,362,
"149 St-Grand Concourse (2,4,5) ",Bx,"10,384","11,395","12,056","12,744","13,422","13,599","14,380",+781,+5.7%,106,
"161 St-Yankee Stadium (B,D,4) ",Bx,"24,258","26,511","26,061","26,159","26,631","27,604","26,972",-632,-2.3%,41,
167 St (4) ,Bx,"8,564","9,125","9,054","9,220","9,351","9,699","9,904",+205,+2.1%,158,
"167 St (B,D) ",Bx,"8,747","8,913","8,848","8,839","9,054","9,264","9,374",+110,+1.2%,171,
170 St (4) ,Bx,"7,958","8,661","8,848","9,234","9,259","9,518","9,525",+7,+0.1%,168,
"170 St (B,D) ",Bx,"6,273","6,421","6,255","6,054","6,155","6,303","6,563",+260,+4.1%,229,
"174 St (2,5) ",Bx,"6,514","6,876","6,801","7,227","7,049","7,018","7,339",+321,+4.6%,204,
"174-175 Sts (B,D) ",Bx,"4,669","4,822","4,603","4,537","4,660","4,706","4,885",+179,+3.8%,293,
176 St (4) ,Bx,"4,606","5,105","4,312","4,517","5,383","5,623","5,905",+282,+5.0%,256,
"182-183 Sts (B,D) ",Bx,"4,898","4,747","4,612","4,550","4,546","4,507","4,554",+47,+1.0%,310,
183 St (4) ,Bx,"3,371","5,890","5,954","6,071","6,162","6,319","6,360",+41,+0.6%,236,
"219 St (2,5) ",Bx,"2,727","2,982","3,049","3,261","3,337","3,413","3,483",+70,+2.1%,350,
"225 St (2,5) ",Bx,"3,493","3,798","3,841","4,104","4,346","4,469","4,479",+10,+0.2%,315,
231 St (1) ,Bx,"8,095","8,670","8,428","8,680","9,170","9,187","8,951",-236,-2.6%,177,
"233 St (2,5) ",Bx,"4,437","4,834","4,870","5,179","5,379","5,388","5,473",+85,+1.6%,272,
238 St (1) ,Bx,"3,551","3,681","3,492","3,514","3,019","3,612","3,598",-14,-0.4%,346,
3 Av-138 St (6) ,Bx,"6,447","6,878","6,894","6,985","7,238","7,326","7,667",+341,+4.7%,196,
"3 Av-149 St (2,5) ",Bx,"22,824","23,859","24,096","23,955","24,022","24,580","24,001",-579,-2.4%,51,
"Allerton Av (2,5) ",Bx,"4,958","5,179","5,258","5,282","5,193","5,389","5,526",+137,+2.5%,270,
Baychester Av (5) ,Bx,"3,743","3,924","3,634","3,706","3,840","3,980","4,177",+197,+4.9%,322,
"Bedford Park Blvd (B,D) ",Bx,"6,214","6,317","6,054","6,037","6,150","6,183","6,303",+120,+1.9%,239,
Bedford Park Blvd-Lehman College (4) ,Bx,"5,359","5,519","5,701","5,897","6,052","6,034","6,201",+167,+2.8%,243,
"Bronx Park East (2,5) ",Bx,"2,768","2,897","2,834","2,888","2,757","2,811","2,959",+148,+5.3%,368,
Brook Av (6) ,Bx,"5,618","5,877","5,790","5,874","6,073","6,113","6,186",+73,+1.2%,244,
Buhre Av (6) ,Bx,"2,795","2,975","2,980","3,011","3,315","3,418","3,718",+300,+8.8%,343,
"Burke Av (2,5) ",Bx,"3,252","3,380","3,367","3,392","3,387","3,491","3,612",+121,+3.5%,345,
Burnside Av (4) ,Bx,"10,135","10,433","10,909","11,232","11,243","11,387","11,560",+173,+1.5%,137,
Castle Hill Av (6) ,Bx,"6,660","6,969","6,708","7,617","7,540","7,567","5,632","-1,935",-25.6%,266,
Cypress Av (6) ,Bx,"3,358","3,670","3,574","3,739","3,701","3,636","3,842",+206,+5.7%,335,
East 143 St-St Mary's St (6) ,Bx,931,899,831,871,941,973,911,-62,-6.4%,411,
East 149 St (6) ,Bx,"4,259","4,386","4,323","4,226","4,336","4,486","4,580",+94,+2.1%,307,
"East 180 St (2,5) ",Bx,"5,948","6,428","6,341","5,931","6,518","6,832","7,003",+171,+2.5%,213,
Eastchester-Dyre Av (5) ,Bx,"3,930","4,301","4,189","4,333","4,603","4,765","4,948",+183,+3.8%,289,
Elder Av (6) ,Bx,"6,318","6,480","6,434","9,042","2,240","6,161","6,377",+216,+3.5%,235,
Fordham Rd (4) ,Bx,"12,570","11,511","11,732","12,080","12,330","12,560","12,558",-2,-0.0%,122,
"Fordham Rd (B,D) ",Bx,"11,516","11,576","11,413","11,454","11,465","11,521","11,878",+357,+3.1%,131,
"Freeman St (2,5) ",Bx,"3,313","3,635","3,812","4,296","4,382","4,569","4,762",+193,+4.2%,299,
"Gun Hill Rd (2,5) ",Bx,"5,567","6,005","6,145","6,717","7,045","7,212","7,339",+127,+1.8%,205,
Gun Hill Rd (5) ,Bx,"5,828","6,025","5,770","5,776","5,794","5,953","6,002",+49,+0.8%,249,
Hunts Point Av (6) ,Bx,"10,242","10,612","10,512","10,494","10,316","10,389","10,144",-245,-2.4%,153,
"Intervale Av (2,5) ",Bx,"2,640","2,775","2,785","2,951","2,974","3,121","3,420",+299,+9.6%,354,
"Jackson Av (2,5) ",Bx,"4,860","5,089","4,961","5,249","5,110","5,060","5,432",+372,+7.4%,274,
Kingsbridge Rd (4) ,Bx,"5,049","8,980","9,320","9,754","10,153","10,377","10,431",+54,+0.5%,150,
"Kingsbridge Rd (B,D) ",Bx,"8,502","7,788","7,417","7,208","7,189","7,184","7,422",+238,+3.3%,203,
